episode,reward,avg_reward_100,epsilon
318.0,-25.146846532366396,-36.15256397287085,0.3834912872472453
319.0,-18.039136641403047,-36.092186695986456,0.3823408133855036
320.0,4.027321258735114,-35.36429508584704,0.38119379094534706
321.0,-2.078459263249897,-35.71502972193319,0.380050209572511
322.0,-47.407470674747906,-35.70725859755353,0.3789100589437935
323.0,-60.60560241525975,-35.48768337183658,0.3777733287669621
324.0,-26.90539948060102,-35.26053755103233,0.37664000878066123
325.0,0.5503896381759432,-34.98972570392845,0.37551008875431924
326.0,14.795569841060498,-34.75141657756312,0.37438355848805627
327.0,-28.680322176170904,-32.81440500755052,0.3732604078125921
328.0,45.56736190416413,-31.96348355335132,0.37214062658915437
329.0,-28.924291156262882,-31.51246040904266,0.3710242047093869
330.0,29.92656356354658,-31.137502725091107,0.3699111320952587
331.0,36.15975586049478,-30.71201103523476,0.36880139869897294
332.0,-6.686735697580403,-30.615858643491634,0.367694994502876
333.0,-8.905821529416585,-30.263766762214562,0.3665919095193674
334.0,-8.641759357690034,-29.841132995060526,0.36549213379080925
335.0,-85.0382482504126,-30.272228015597015,0.3643956573894368
336.0,8.26342995577869,-29.987648643266162,0.3633024704172685
337.0,-45.36941432063797,-30.167652051371697,0.3622125630060167
338.0,21.324204104135447,-29.634616255132197,0.3611259253169986
339.0,-19.12053631167828,-29.368541527158104,0.3600425475410476
340.0,8.41794372826702,-29.06434819773832,0.3589624198984244
341.0,30.200847585503652,-28.083774356141088,0.35788553263872913
342.0,-7.499366393540465,-27.977523524073963,0.35681187604081294
343.0,-16.209026823812778,-28.246547339701138,0.3557414404126905
344.0,49.8061552969784,-27.179389990067484,0.35467421609145244
345.0,-11.128010120150492,-27.643479651555175,0.35361019344317807
346.0,35.982970468179126,-26.738169286903496,0.35254936286284855
347.0,39.920726350192325,-26.162382773635116,0.35149171477426
348.0,-29.448277307768905,-26.67929686800561,0.3504372396299372
349.0,0.6635340170323616,-26.139144931900468,0.3493859279110474
350.0,-49.643906815405614,-26.31316659024239,0.34833777012731426
351.0,2.0969525572616847,-25.712426993537747,0.34729275681693234
352.0,-13.483605881485971,-25.904470150185862,0.3462508785464815
353.0,23.829911416968287,-25.276877085106932,0.34521212591084205
354.0,-21.12599689747644,-25.021555918820624,0.34417648953310953
355.0,46.53409001591194,-23.131489931940806,0.3431439600645102
356.0,31.26872741860123,-22.366382658866364,0.34211452818431665
357.0,23.075183503052806,-22.180506884552152,0.3410881845997637
358.0,-57.062609588025474,-22.61309953481535,0.3400649200459644
359.0,41.785679295428594,-21.471680838359887,0.3390447252858265
360.0,48.434522238893635,-20.29947405319247,0.33802759110996905
361.0,41.038785261989176,-20.06331231601589,0.3370135083366391
362.0,29.23688295046196,-19.683580341101464,0.3360024678116292
363.0,-6.736673838228796,-19.42476302295204,0.3349944604081943
364.0,-0.6138950090593625,-18.898062654089525,0.33398947702696974
365.0,8.790116987754118,-18.3338459511556,0.3329875085958888
366.0,20.46277152201597,-17.10838498520875,0.33198854607010114
367.0,-54.889641112720426,-17.336563326987484,0.33099258043189084
368.0,92.37769062707221,-16.0155411014244,0.32999960269059514
369.0,1.8205996109894897,-14.248939837112076,0.32900960388252337
370.0,-76.92527402266468,-14.861323811906166,0.3280225750708758
371.0,14.577104926320398,-14.37919877580886,0.32703850734566314
372.0,-42.48269490871063,-14.262162649845926,0.32605739182362614
373.0,1.8722308785365414,-11.338617647340008,0.3250792196481553
374.0,31.087005041181555,-10.802983683118931,0.3241039819892108
375.0,-17.02092806956415,-10.747783554028835,0.32313167004324317
376.0,89.88132048346841,-9.836207346421789,0.32216227503311345
377.0,25.866276246251893,-9.59716778199224,0.3211957882080141
378.0,25.237840342348164,-8.915517930266848,0.32023220084339005
379.0,22.552095003697872,-8.887757925983975,0.31927150424085987
380.0,-5.032545544419946,-8.947359878613685,0.3183136897281373
381.0,15.667704913760886,-8.026656399575087,0.31735874865895286
382.0,80.38325768248201,-7.419247891710246,0.316406672412976
383.0,39.718879378311826,-6.518502264913744,0.3154574523957371
384.0,0.2850996933173633,-5.766923339699177,0.3145110800385499
385.0,-39.26988315736871,-6.579071489620319,0.31356754679843424
386.0,23.178350486542953,-6.168906087762391,0.31262684415803893
387.0,42.84269983982472,-5.330952906884395,0.3116889636255648
388.0,95.02726089146388,-4.029582620603019,0.3107538967346881
389.0,55.08119196658049,-3.626345139738715,0.30982163504448407
390.0,27.25299262526788,-2.3542271196772293,0.3088921701393506
391.0,71.35356997400538,-1.2878393751547612,0.30796549362893255
392.0,30.55203839781842,-1.0412266984941834,0.30704159714804574
393.0,49.04720501882893,-0.4196930596798167,0.3061204723566016
394.0,-6.427332361753187,-0.07811553659933508,0.3052021109395318
395.0,-45.309684011539744,-0.062192956918502774,0.3042865046067132
396.0,6.415490385372806,0.5302851139316261,0.30337364509289305
397.0,28.966824626927973,1.2235189879276727,0.30246352415761435
398.0,-51.97418145223871,1.1595164324731204,0.3015561335851415
399.0,-8.656760440223508,1.3993769767351487,0.30065146518438607
400.0,102.81003067523365,2.6831346174618926,0.2997495107888329
401.0,-18.754538619414163,2.921631854977317,0.2988502622564664
402.0,-11.010927975771068,3.2022928024883344,0.29795371146969696
403.0,-80.40320748981091,2.5433905788669713,0.29705985033528787
404.0,15.617015493267587,2.9959228519519114,0.296168670784282
405.0,16.75447875250174,2.835589821664341,0.29528016477192914
406.0,107.40362080400934,4.64842496221552,0.29439432427761336
407.0,90.69405054577997,5.818465048510781,0.2935111413047805
408.0,128.49909479421976,7.15939075318347,0.29263060788086614
409.0,141.07073469836294,8.312352215584454,0.2917527160572235
410.0,134.25431839992427,9.567615515929539,0.29087745790905184
411.0,12.947381677026897,9.94130680679292,0.2900048255353247
412.0,2.1472129049377315,9.903383123982392,0.28913481105871874
413.0,-19.08332394935279,9.806279398563916,0.28826740662554257
414.0,14.790961949291372,10.400252143589046,0.28740260440566595
415.0,17.04760883509526,11.057792076106532,0.28654039659244895
416.0,-23.360789212879524,11.402273347746377,0.2856807754026716
417.0,112.0695527473841,12.842080632471259,0.2848237330764636
418.0,145.21737025678163,14.54572280036274,0.2839692618772342
419.0,13.627958884505432,14.862393755621824,0.2831173540916025
420.0,-17.298666994909766,14.649133873085376,0.28226800202932767
421.0,4.632898631818506,14.716247452036061,0.28142119802323967
422.0,-111.84894218472395,14.071832736936301,0.28057693442917
423.0,53.28547463418832,15.210743507430783,0.27973520362588244
424.0,-41.955401003455506,15.060243492202234,0.2788959980150048
425.0,138.5989882378526,16.440729478199003,0.2780593100209598
426.0,0.09179043553886856,16.293691684143784,0.2772251320908969
427.0,128.9497342820441,17.869992248725936,0.2763934566946242
428.0,130.3159606322102,18.717478236006396,0.2755642763245403
429.0,39.33064912415449,19.400027638810567,0.27473758349556665
430.0,106.3342110783933,20.164104113959038,0.27391337074507993
431.0,119.03636545416605,20.99287020989575,0.2730916306328447
432.0,44.918307868883716,21.508920645560394,0.27227235574094616
433.0,145.5691843729986,23.053670704584547,0.2714555386737233
434.0,137.09540906388938,24.51104238880034,0.2706411720577021
435.0,23.764188108856672,25.599066752393032,0.269829248541529
436.0,2.5556409787415504,25.541988862622656,0.2690197607959044
