episode,reward,avg_reward_100,epsilon
0.0,-158.8866831212311,-158.8866831212311,0.995
1.0,-143.46463311433132,-151.1756581177812,0.990025
2.0,-175.50142821635495,-159.28424815063912,0.985074875
3.0,-504.204523967381,-245.5143171048246,0.9801495006250001
4.0,-63.34435222293038,-209.08032412844577,0.9752487531218751
5.0,-310.09568977769936,-225.91621840332138,0.9703725093562657
6.0,-148.324424758897,-214.8316764541179,0.9655206468094844
7.0,-404.4713599360528,-238.53663688935973,0.960693043575437
8.0,-143.61114208316587,-227.9893596886715,0.9558895783575597
9.0,-79.82528063623448,-213.17295178342778,0.9511101304657719
10.0,-152.52573278047163,-207.6595682377045,0.946354579813443
11.0,-91.56292103177917,-197.98484763721072,0.9416228069143757
12.0,-217.07283474365795,-199.45315433770668,0.9369146928798039
13.0,-64.19715018823074,-189.79201118417268,0.9322301194154049
14.0,-165.34071769859364,-188.16192495180076,0.9275689688183278
15.0,-283.32923636069967,-194.10988191485694,0.9229311239742362
16.0,-93.19249206899254,-188.17356486510022,0.918316468354365
17.0,-60.78123161235624,-181.09621301772555,0.9137248860125932
18.0,-163.11637308549933,-180.14990565287152,0.9091562615825302
19.0,-270.7278450322575,-184.67880262184082,0.9046104802746175
20.0,-109.45674975093574,-181.09680010417867,0.9000874278732445
21.0,-81.75926998948165,-176.5814578262379,0.8955869907338783
22.0,-97.46148767110898,-173.141459123841,0.8911090557802088
23.0,-142.53919993244142,-171.86636499086603,0.8866535105013078
24.0,-83.25464999037617,-168.32189639084646,0.8822202429488013
25.0,-114.81316540248824,-166.2638682759096,0.8778091417340573
26.0,-48.256786159551055,-161.89323560493335,0.8734200960253871
27.0,-379.82079103135965,-169.67636258444855,0.8690529955452602
28.0,-128.05140319789552,-168.24101915732604,0.8647077305675338
29.0,-106.34784129634932,-166.17791322862684,0.8603841919146962
30.0,-76.96831358925692,-163.30018420800198,0.8560822709551227
31.0,-43.031955380466016,-159.54180205714147,0.851801859600347
32.0,-226.27561824719652,-161.56403891138555,0.8475428503023453
33.0,-309.5517378466255,-165.9166182918338,0.8433051360508336
34.0,-132.5949829653631,-164.96457156822035,0.8390886103705794
